server_id,process_name,process_id,process_command_line,process_user,role
i-0422e26203cb709b2,nginx,5472,"nginx: master process /usr/sbin/nginx -g daemon on; master_process on;",root,"web-server: reverse proxy / FastCGI gateway for fbctf"
i-0422e26203cb709b2,nginx,5473,"nginx: worker process",www-data,"web-server worker"
i-0422e26203cb709b2,nginx,5474,"nginx: worker process",www-data,"web-server worker"
i-0422e26203cb709b2,sshd,1267,"/usr/sbin/sshd -D",root,"remote access: listening but unused (SSM only)"
i-0422e26203cb709b2,amazon-ssm-agent,1826,"/snap/amazon-ssm-agent/4046/amazon-ssm-agent",root,"management agent"
i-0422e26203cb709b2,amazon-cloudwatch-agent,5616,"/opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent",root,"log shipping"
i-0422e26203cb709b2,snapd,1529,"/usr/lib/snapd/snapd",root,"os: snap package daemon"
i-0422e26203cb709b2,unattended-upgrades,1147,"unattended-upgrade-shutdown --wait-for-signal",root,"os: auto-update (xenial ESM only)"
i-0d6b944117ba6302b,hhvm,6213,"/usr/bin/hhvm --config /etc/hhvm/php.ini --config /etc/hhvm/server.ini --user www-data --mode daemon",www-data,"app-server: HipHop VM 3.21.11 Hack/PHP runtime on FastCGI :9000"
i-0d6b944117ba6302b,hhvm,6220,"hhvm -vRepo.Central.Path=/var/run/hhvm/.hhvm.hhbc_autorun /var/www/fbctf/src/scripts/autorun.php",www-data,"app-server: fbctf background autorun (score/announcement loop)"
i-0d6b944117ba6302b,hh_server,6087,"/usr/bin/hh_server",www-data,"app-server: Hack typechecker daemon"
i-0d6b944117ba6302b,hh_server,6092,"/usr/bin/hh_server",www-data,"app-server: Hack typechecker worker"
i-0d6b944117ba6302b,sshd,1277,"/usr/sbin/sshd -D",root,"remote access: listening but unused (SSM only)"
i-0d6b944117ba6302b,amazon-ssm-agent,1830,"/snap/amazon-ssm-agent/4046/amazon-ssm-agent",root,"management agent"
i-0d6b944117ba6302b,amazon-cloudwatch-agent,6044,"/opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent",root,"log shipping"
i-0d6b944117ba6302b,mysql,0,"/usr/bin/mysql (client 5.7.33; invoked at boot for DB bootstrap only)",root,"db client: not a resident process"
i-0d6b944117ba6302b,snapd,1536,"/usr/lib/snapd/snapd",root,"os: snap package daemon"
