server_id,data_source,cpu_utilization_avg_pct,cpu_utilization_p95_pct,cpu_utilization_peak_pct,cpu_count,memory_total_gb,memory_utilization_avg_pct,memory_utilization_p95_pct,memory_utilization_peak_pct,network_in_avg_mbps,network_in_p95_mbps,network_in_peak_mbps,network_out_avg_mbps,network_out_p95_mbps,network_out_peak_mbps,network_total_avg_mbps,network_total_p95_mbps,network_total_peak_mbps
import_0705e40e-dd07-5423-b3ca-e8cea03e8c1c,OS,17.52,77.5,100.0,2,1.86,17.207,17.643,17.76,0.014135,0.019268,0.022993,0.022488,0.044051,0.064548,0.036622,0.063133,0.08754
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,OS,11.127778,60.02,100.0,2,1.96,80.462222,88.23,91.89,0.001899,0.010161,0.016614,0.004165,0.022491,0.037485,0.610048,0.685318,0.686005
import_3e51316c-c467-5519-b24b-939f6f02b8d7,OS,1.633109,2.362,100.0,2,3.94,32.698235,33.951,35.53,0.001091,0.000528,0.119641,0.000776,0.000441,0.088116,0.034053,0.032091,0.322082
import_44784c54-26eb-5f62-98a6-b1770a879c26,OS,3.637815,6.2,81.2,2,1.87,25.408824,26.546,33.93,0.006283,0.011222,0.289462,0.007773,0.021636,0.026037,0.014055,0.032778,0.315499
import_4d2ba2dd-1c65-54c9-8961-706f9bc2c716,OS,20.9,98.605,100.0,2,1.86,17.123,17.345,17.39,0.013183,0.017277,0.018106,0.017006,0.022081,0.023243,0.030189,0.038923,0.039507
import_7a60d1e0-995a-53c0-84e3-58df40793c90,OS,20.94,95.77,100.0,2,1.86,17.666,18.2075,18.23,0.012295,0.016122,0.018354,0.017964,0.020481,0.021906,0.030259,0.036163,0.04026
import_99b69105-fed0-5c04-8b6a-54651a9c3e47,OS,20.84,92.105,97.1,2,1.86,39.047,39.693,39.81,0.012445,0.017249,0.019657,0.016773,0.020107,0.022167,0.029218,0.037341,0.041824
import_a30b55c1-0587-5029-839d-71f30905225f,OS,21.82,96.85,100.0,2,1.86,16.978,17.616,17.76,0.013463,0.020054,0.025443,0.017172,0.025199,0.032712,0.030635,0.045166,0.058155
import_a8961f84-8e64-5327-9ea6-a9cdcb181127,OS,4.169748,12.54,91.4,2,3.75,34.535882,35.155,35.44,0.009201,0.011172,0.582394,0.009865,0.011876,0.338098,0.019066,0.023075,0.920492
import_bf97cd90-d6c9-550e-9ca9-4bea1c402677,OS,20.34,98.785,100.0,2,1.86,34.923,40.373,40.49,0.009947,0.013355,0.013841,0.016414,0.018889,0.01927,0.026361,0.031767,0.032031
import_da2c6743-6a4f-54db-9c8d-5227933d64fd,OS,19.07,92.39,94.1,2,1.86,18.147,18.6775,18.7,0.013119,0.017477,0.018116,0.018247,0.029557,0.037133,0.031366,0.046892,0.053829
import_e0b56d26-039f-508a-af2f-774aba6ec4f8,OS,22.81,100.0,100.0,2,3.75,66.322,66.6775,66.7,0.012236,0.017911,0.017981,0.018784,0.022892,0.023174,0.03102,0.039258,0.03955
