server_id,data_source,disk_volume_id,disk_mount_point,file_system,disk_total_gb,disk_used_gb,disk_free_gb,disk_read_iops_avg,disk_read_iops_p95,disk_read_iops_peak,disk_write_iops_avg,disk_write_iops_p95,disk_write_iops_peak,disk_total_iops_avg,disk_total_iops_p95,disk_total_iops_peak,disk_read_throughput_avg_mibps,disk_read_throughput_p95_mibps,disk_read_throughput_peak_mibps,disk_write_throughput_avg_mibps,disk_write_throughput_p95_mibps,disk_write_throughput_peak_mibps,disk_total_throughput_avg_mibps,disk_total_throughput_p95_mibps,disk_total_throughput_peak_mibps
import_0705e40e-dd07-5423-b3ca-e8cea03e8c1c,OS,nvme0n1,/,xfs,29.93,1.9,28.02,0.0,0.0,0.0,9.111111,48.0,76.0,9.111111,48.0,76.0,0.0,0.0,0.0,0.907556,4.88674,8.0977,0.907556,4.88674,8.0977
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,OS,0 c:,C:,NTFS,80.0,39.9,40.09,237.941258,1154.733001,1628.32492836728,1.994349,5.305524,6.03455810389357,239.935607,1158.987608,1634.3594864711736,1.47745,6.04504,6.3606,0.031088,0.123905,0.1301,1.50855,6.130965,6.4908
import_3e51316c-c467-5519-b24b-939f6f02b8d7,OS,0 c:,C:,NTFS,60.0,20.37,39.63,1.722934,0.0,205.029119039907,2.806392,18.016703,25.8450819940197,4.529326,19.135386,210.91512245732056,0.025041,0.0,2.9799,0.042099,0.14877,0.2071,0.06714,0.14877,3.1677
import_44784c54-26eb-5f62-98a6-b1770a879c26,OS,nvme0n1,/,ext4,38.58,3.25,35.32,0.074958,0.0,8.92,10.105546,0.0,371.49,10.180504,0.395,371.49,0.001887,0.0,0.2245,0.050421,0.0,1.8366,0.052308,0.00579,1.8366
import_4d2ba2dd-1c65-54c9-8961-706f9bc2c716,OS,nvme0n1,/,xfs,29.93,1.96,27.97,0.0,0.0,0.0,11.357778,47.388,50.5,11.357778,47.388,50.5,0.0,0.0,0.0,1.189389,5.37906,5.6505,1.189389,5.37906,5.6505
import_7a60d1e0-995a-53c0-84e3-58df40793c90,OS,nvme0n1,/,xfs,29.93,1.95,27.97,0.0,0.0,0.0,4.111111,21.0,33.0,4.111111,21.0,33.0,0.0,0.0,0.0,0.509111,2.74062,4.5469,0.509111,2.74062,4.5469
import_99b69105-fed0-5c04-8b6a-54651a9c3e47,OS,nvme0n1,/,xfs,29.93,2.41,27.52,0.0,0.0,0.0,1.111111,4.8,6.0,1.111111,4.8,6.0,0.0,0.0,0.0,0.013022,0.0586,0.0742,0.013022,0.0586,0.0742
import_a30b55c1-0587-5029-839d-71f30905225f,OS,nvme0n1,/,xfs,29.93,1.96,27.97,0.0,0.0,0.0,1.0,4.8,6.0,1.0,4.8,6.0,0.0,0.0,0.0,0.011278,0.05466,0.0703,0.011278,0.05466,0.0703
import_a8961f84-8e64-5327-9ea6-a9cdcb181127,OS,nvme0n1,/,xfs,79.93,4.63,75.29,1.403361,0.0,119.0,1.403361,8.4,65.0,2.806723,12.0,134.0,0.020385,0.0,1.3672,0.0646,0.1172,6.4141,0.084984,0.15269,6.7461
import_bf97cd90-d6c9-550e-9ca9-4bea1c402677,OS,nvme0n1,/,xfs,29.93,2.24,27.69,4.333333,23.4,39.0,0.777778,3.6,4.0,5.111111,27.0,43.0,0.171011,0.92346,1.5391,0.009556,0.04456,0.0508,0.180556,0.96796,1.5898
import_da2c6743-6a4f-54db-9c8d-5227933d64fd,OS,nvme0n1,/,xfs,29.93,2.18,27.75,0.0,0.0,0.0,0.666667,3.0,3.0,0.666667,3.0,3.0,0.0,0.0,0.0,0.007378,0.0336,0.0352,0.007378,0.0336,0.0352
import_e0b56d26-039f-508a-af2f-774aba6ec4f8,OS,nvme0n1,/,xfs,59.93,6.75,53.17,7.666667,41.4,69.0,2.777778,8.6,9.0,10.444444,49.8,77.0,0.323356,1.74612,2.9102,0.033422,0.09848,0.1016,0.356767,1.84454,3.0117
